ID;Клієнт;Логін;Посада
123123;Клієнт 1;111@mail.com;HR (специалист)
123123;Клієнт 1;111@mail.com;Юрист (юрисконсульт)
123123;Клієнт 1;111@mail.com;Бухгалтер (специалист)
123123;Клієнт 1;111@mail.com;Бухгалтер (главный бухгалтер)
123123;Клієнт 1;111@mail.com;Юрист (партнер юр.компании)
234567;Клієнт 2;112@mail.com;Юрист (специалист юр.компании)
234568;Клієнт 3;113@mail.com;Судья
234568;Клієнт 3;113@mail.com;CEO / Руководитель компании
234569;Клієнт 4;114@mail.com;Другое
234569;Клієнт 4;114@mail.com;ИТ (специалист)
234569;Клієнт 4;114@mail.com;Юрист (руководитель юр.департамента)
234569;Клієнт 4;114@mail.com;Бухгалтер (главный бухгалтер)
234569;Клієнт 4;114@mail.com;HR (специалист)
234570;Клієнт 5;115@mail.com;CEO / Руководитель компании
234570;Клієнт 5;115@mail.com;Бухгалтер (главный бухгалтер)
234570;Клієнт 5;115@mail.com;HR (специалист)
234570;Клієнт 5;115@mail.com;Аудитор
234570;Клієнт 5;115@mail.com;ИТ (специалист)
234570;Клієнт 5;115@mail.com;Финансы (финансовый директор)
234570;Клієнт 5;115@mail.com;Комплаенс специалист 
234571;Клієнт 6;116@mail.com;Комплаенс специалист 
234572;Клієнт 7;117@mail.com;HR (специалист)
234573;Клієнт 8;118@mail.com;HR (специалист)
234574;Клієнт 9;119@mail.com;Юрист (юрисконсульт)
234575;Клієнт 10;120@mail.com;Бухгалтер (специалист)
234576;Клієнт 11;121@mail.com;Бухгалтер (главный бухгалтер)
234577;Клієнт 12;122@mail.com;Юрист (партнер юр.компании)
234578;Клієнт 13;123@mail.com;Юрист (специалист юр.компании)
234579;Клієнт 14;124@mail.com;Судья
234580;Клієнт 15;125@mail.com;CEO / Руководитель компании
234581;Клієнт 16;126@mail.com;Другое
234581;Клієнт 16;126@mail.com;CEO / Руководитель компании
234582;Клієнт 17;127@mail.com;Юрист (руководитель юр.департамента)
234582;Клієнт 17;127@mail.com;HR (специалист)
234583;Клієнт 18;128@mail.com;Финансы (финансовый директор)
234583;Клієнт 18;128@mail.com;HR (специалист)
234583;Клієнт 18;128@mail.com;Бухгалтер (специалист)
234584;Клієнт 19;129@mail.com;HR (специалист)
234584;Клієнт 19;129@mail.com;Юрист (юрисконсульт)
234585;Клієнт 20;130@mail.com;ИТ (специалист)
234585;Клієнт 20;130@mail.com;Финансы (финансовый директор)
234586;Клієнт 21;131@mail.com;Бухгалтер (специалист)
234587;Клієнт 22;132@mail.com;Физическое лицо-предприниматель
234588;Клієнт 23;133@mail.com;Бухгалтер (специалист)
234589;Клієнт 24;134@mail.com;Юрист (юрисконсульт)
234590;Клієнт 25;135@mail.com;Бухгалтер (специалист)
234591;Клієнт 26;136@mail.com;Бухгалтер (главный бухгалтер)
234592;Клієнт 27;137@mail.com;Юрист (партнер юр.компании)
234593;Клієнт 28;138@mail.com;Юрист (специалист юр.компании)
234594;Клієнт 29;139@mail.com;Судья
234595;Клієнт 30;140@mail.com;Юрист (руководитель юр.департамента)
234596;Клієнт 31;141@mail.com;Другое
234597;Клієнт 32;142@mail.com;Другое
234598;Клієнт 33;143@mail.com;Юрист (руководитель юр.департамента)
234599;Клієнт 34;144@mail.com;Другое
234600;Клієнт 35;145@mail.com;Бухгалтер (специалист)
234601;Клієнт 36;146@mail.com;Юрист (юрисконсульт)
234602;Клієнт 37;147@mail.com;Бухгалтер (специалист)
234603;Клієнт 38;148@mail.com;Бухгалтер (главный бухгалтер)
234604;Клієнт 39;149@mail.com;Юрист (партнер юр.компании)
234605;Клієнт 40;150@mail.com;Юрист (специалист юр.компании)
234606;Клієнт 41;151@mail.com;Юрист (юрисконсульт)
234607;Клієнт 42;152@mail.com;Бухгалтер (специалист)
234608;Клієнт 43;153@mail.com;Бухгалтер (главный бухгалтер)
234609;Клієнт 44;154@mail.com;Юрист (партнер юр.компании)
234610;Клієнт 45;155@mail.com;Юрист (специалист юр.компании)
234611;Клієнт 46;156@mail.com;Юрист (юрисконсульт)
234612;Клієнт 47;157@mail.com;Бухгалтер (специалист)
234613;Клієнт 48;158@mail.com;Бухгалтер (главный бухгалтер)
234614;Клієнт 49;159@mail.com;Юрист (партнер юр.компании)
234615;Клієнт 50;160@mail.com;Юрист (специалист юр.компании)
234616;Клієнт 51;161@mail.com;Юрист (юрисконсульт)
234617;Клієнт 52;162@mail.com;Бухгалтер (специалист)
234618;Клієнт 53;163@mail.com;Бухгалтер (главный бухгалтер)
234619;Клієнт 54;164@mail.com;Юрист (партнер юр.компании)
234620;Клієнт 55;165@mail.com;Юрист (специалист юр.компании)
234621;Клієнт 56;166@mail.com;Юрист (юрисконсульт)
234622;Клієнт 57;167@mail.com;Бухгалтер (специалист)
234623;Клієнт 58;168@mail.com;Бухгалтер (главный бухгалтер)
234624;Клієнт 59;169@mail.com;Юрист (партнер юр.компании)
234625;Клієнт 60;170@mail.com;Юрист (специалист юр.компании)
